id,quesiont_bank_id,subject_id,type,title,title_str,options,answer,analysis,sort_num,update_time,created_time,is_vaild,curriculum_id,lession_id,educational_institution_id,user_id,bank_title,bank_content
9670,298,3,1,<p>与a&gt;b and b&gt;c 等价的是？</p>,与a&gt;b and b&gt;c 等价的是？,"[{""title"":""A"",""content"":""<p>a &gt; b or b &gt;c</p>""},{""title"":""B"",""content"":""<p>a&gt;b&gt;c</p>""},{""title"":""C"",""content"":""<p>a&gt;b or not b&lt;c</p>""},{""title"":""D"",""content"":""<p>not a</p>""}]",B,无,1,2022-01-18 10:15:05,2022-01-18 10:15:05,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9671,298,3,1,<p>print(30-10)的输出结果是？</p>,print(30-10)的输出结果是？,"[{""title"":""A"",""content"":""<p>30-10</p>""},{""title"":""B"",""content"":""<p>20</p>""},{""title"":""C"",""content"":""<p>10</p>""},{""title"":""D"",""content"":""<p>3010</p>""}]",B,无,2,2022-01-18 10:15:42,2022-01-18 10:15:42,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9672,298,3,1,<p>下列哪个软件不能进行Python代码编写？</p>,下列哪个软件不能进行Python代码编写？,"[{""title"":""A"",""content"":""<p>IDLE</p>""},{""title"":""B"",""content"":""<p>PyCharm</p>""},{""title"":""C"",""content"":""<p>Visual Studio Code</p>""},{""title"":""D"",""content"":""<p>WPS</p>""}]",D,无,3,2022-01-18 10:16:41,2022-01-18 10:16:41,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9673,298,3,1,<p>下列哪句Python代码可以输出&ldquo;你好呀！&rdquo;？</p>,下列哪句Python代码可以输出&ldquo;你好呀！&rdquo;？,"[{""title"":""A"",""content"":""<p>input(&ldquo;你好呀！ &rdquo;)</p>""},{""title"":""B"",""content"":""<p>print&nbsp;&nbsp; &ldquo;你好呀！ &rdquo;</p>""},{""title"":""C"",""content"":""<p>你好呀！</p>""},{""title"":""D"",""content"":""<p>print(&ldquo;你好呀！&rdquo;)</p>""}]",D,无,4,2022-01-18 10:18:21,2022-01-18 10:18:21,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9674,298,3,1,"<p>假设 x = 30,y =4,那么x%y的结果是？</p>","假设 x = 30,y =4,那么x%y的结果是？","[{""title"":""A"",""content"":""<p>2</p>""},{""title"":""B"",""content"":""<p>7</p>""},{""title"":""C"",""content"":""<p>7.5</p>""},{""title"":""D"",""content"":""<p>120</p>""}]",A,无,5,2022-01-18 10:18:55,2022-01-18 10:18:55,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9675,298,3,1,"<p>&nbsp;这段代码召唤了几只画笔海龟库？</p>
<p>import&nbsp; turtle</p>
<p>pen = turtle.Pen()</p>
<p>t = turtle.Pen()</p>
<p>p = turtle.Pen()</p>
<p>pen.pensize(5)</p>
<p>pen.forward(100)</p>","&nbsp;这段代码召唤了几只画笔海龟库？
import&nbsp; turtle
pen = turtle.Pen()
t = turtle.Pen()
p = turtle.Pen()
pen.pensize(5)
pen.forward(100)","[{""title"":""A"",""content"":""<p>1</p>""},{""title"":""B"",""content"":""<p>2</p>""},{""title"":""C"",""content"":""<p>3</p>""},{""title"":""D"",""content"":""<p>4</p>""}]",C,无,6,2022-01-18 10:19:53,2022-01-18 10:19:53,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9676,298,3,1,"<p>下列代码段</p>
<p>&nbsp;star_number1=""star2""</p>
<p>&nbsp;star_number2=""star3""</p>
<p>&nbsp;print(star_number1+star_number2)</p>
<p>&nbsp;结果是？（ ）</p>","下列代码段
&nbsp;star_number1=""star2""
&nbsp;star_number2=""star3""
&nbsp;print(star_number1+star_number2)
&nbsp;结果是？（ ）","[{""title"":""A"",""content"":""<p>star5</p>""},{""title"":""B"",""content"":""<p>star3star2</p>""},{""title"":""C"",""content"":""<p>star2star3</p>""},{""title"":""D"",""content"":""<p>star23</p>""}]",C,无,7,2022-01-18 10:21:04,2022-01-18 10:21:04,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9677,298,3,1,"<p>a=20,b=20,那么b!=a运算的结果是？</p>","a=20,b=20,那么b!=a运算的结果是？","[{""title"":""A"",""content"":""<p>2</p>""},{""title"":""B"",""content"":""<p>True</p>""},{""title"":""C"",""content"":""<p>False</p>""},{""title"":""D"",""content"":""<p>0.5</p>""}]",C,无,8,2022-01-18 10:21:43,2022-01-18 10:21:43,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9678,298,3,1,"<p>假设a =2,b=10,c=a*b-5,那么c的值是多少？</p>","假设a =2,b=10,c=a*b-5,那么c的值是多少？","[{""title"":""A"",""content"":""<p>150</p>""},{""title"":""B"",""content"":""<p>295</p>""},{""title"":""C"",""content"":""<p>300</p>""},{""title"":""D"",""content"":""<p>15</p>""}]",D,无,9,2022-01-18 10:23:55,2022-01-18 10:23:55,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
9679,298,3,1,<p>&nbsp;能改变画笔颜色的命令是？</p>,&nbsp;能改变画笔颜色的命令是？,"[{""title"":""A"",""content"":""<p>turtle.colormode()</p>""},{""title"":""B"",""content"":""<p>turtle.pencolor()</p>""},{""title"":""C"",""content"":""<p>turtle.setup()</p>""},{""title"":""D"",""content"":""<p>turtle.penup()</p>""}]",B,无,10,2022-01-18 10:24:43,2022-01-18 10:24:43,True,,,,,【一级集训】01-模拟测试题,运用模拟测试题检测掌握的内容
